"page_name","funding_entity"
"Gene Truono for US Senate","Campaign to Elect Gene Truono"
"Cheryl Precourt Candidate for 32nd Representative District","Friends of Cheryl Precourt"
"Patients For Affordable Drugs Action","Patients For Affordable Drugs Action and not authorized by any candidate or candidate’s committee."
"Tom Carper for Delaware","Carper for Senate"
"Kerri Evelyn Harris","Kerri Evelyn Harris for Delaware"
"Laura Sturgeon","Friends of Laura Sturgeon"
"Blue State","T Parks Inc - CEO Ted Parks - Chicago - Blue State News "
"Working Families Party","The Working Families Party Independent Expenditure Committee (1 Metrotech Center N, Brooklyn NY 11238) and not authorized by any candidate or candidate’s committee."
"South Dakotans for Progress","South Dakotans for Progress"
"Kathy McGuiness for Auditor","Paid for by Friends of Kathy McGuiness"
"Working Families Party","the Working Families Party I.E. Committee"
"Everglades Foundation","The Everglades Foundation"
"Boyd For Mayor","Boyd Corbin for Mayor of Wilton Manors"
"David Richardson for Congress","David Richardson for Congress"
"Doclahoma",NA
"Women's March For All","Women's March For All"
"Nate Kilton, Plant City Commissioner","Nate Kilton, Plant City Commissioner"
"TrumpWatch","TrumpWatch"
"Indiana NORML",NA
"Stain on America","David Koch"
"David Boutin for State Senate","Boutin for Senate"
"Rep. Carlos Tobon",NA
"Jeb Bradley for State Senate","Friends of Jeb Bradley for State Senate"
"Nelson for U.S. Senate","Bill Nelson for U.S. Senate"
"Nuestra Florida","Priorities USA Action and SMP. (302) 469-3772. (202) 871-9255. Not authorized by any candidate or candidate's committee."
"The Capitolist","The Capitolist"
"Progress Puerto Rico","Progress Puerto Rico PAC and not authorized by any candidate or candidate's committee."
"Rick Scott Is Not For Florida","BILL NELSON FOR U.S. SENATE"
"AFSCME-Florida","AFSCME Florida and the American Federation of State, County & Municipal Employees. Not authorized by any candidate or candidate's committee.  PD.pol.adv. paid for by AFSCME Florida. 1625 L Street, NW, Washington, DC 20036, independently of any candidate or committee."
"Voz Boricua","News For Democracy"
"Pasha Baker","Pasha Baker for Mayor of Sanford, FL."
"Florida Knows Best","Priorities USA Action and SMP. Not authorized by any candidate or candidate's committee."
"Bill Nelson","Bill Nelson for U.S. Senate"
"Florida Knows Best","Priorities USA Action and Senate Majority PAC. Not authorized by any candidate or candidate's committee."
"Florida Democratic Party","the Florida Democratic Party. Not authorized by any candidate or candidate's committee."
"FloridaPolitics",NA
"FLIC Votes","Community Change Voters"
"Florida Daily","Florida Daily"
"Bill Nelson",NA
"For Our Future FL","For Our Future (ForOurFuturePAC.org). Not authorized by any candidate or candidate’s committee. "
"John Upchurch for Congress","John Upchurch for Congress"
"Ryan Torrens for Attorney General of Florida","Ryan Torrens, Democrat for Attorney General"
"Rick Scott","Rick Scott for Florida"
"Polk County Democrats Florida",NA
"New Mexico Political Journal","NMPJ"
"Pasco Democratic Party","The Pasco Democratic Party"
"FloridaPolitics","Florida Politics."
"Dana Young","Florida Republican Senatorial Campaign Committee"
"Collier for Trump Club, Inc.","Collier for Trump Club, Inc."
"Mayor Philip Levine","Philip Levine, Democrat, for Governor"
"Miami-Dade Democrats","Miami-Dade Democrats"
"Florida Planned Parenthood Alliance","Florida Alliance of Planned Parenthood Affiliates"
"Winston Law Firm, P.A.",NA
"Christians helping Venezuela","Diego Rodriguez Nava"
"Ross van Dongen","Ross van Dongen"
"Planet Cool","Planet Cool"
"Priorities USA Action","Priorities USA Action. (302) 469-3772. Not authorized by any candidate or candidate's committee."
"Jeff Greene","Jeff Greene, Democrat, for Governor"
"Collier County Democratic Party","Collier County Democratic Party"
"FLA News Online","FLA News Company LLC "
"Write In Heston For Florida Senate","Ryan Ramsey"
"Fort-Pac Committee","FortPac (Freedom Over Regulation & Taxation Political Action Committee).  "
"NTK Network","NTK Network"
"Craig DeThomasis for Alachua County Judge","and approved by Craig DeThomasis for Alachua County Judge"
"Ben Swann","Ben Swann"
"Trinity Democratic Club","The Trinity Democratic Club"
"Jan Schneider","Friends of Jan Schneider"
"OurStates","OurStates"
"NRSC","NRSC"
"Take Back California",NA
"EDF Action","Environmental Defense Action Fund"
"Stace Nelson","Friends of Stace Nelson"
"Ambassador Delano Lewis","Delano Lewis"
"Stephanie Compton for Kentucky Senate","Campaign For Stephanie Compton for Ky Senate"
"Halt Holtec",NA
"Hanu For County Commission","Sean Heileman"
"Kilmer for State Representative","Campaign Fund for Jason Kilmer.  Mary Ann Mader-Jones, treasurer."
"United Democrats of Washington County, MD",NA
"Mary Ann's List","Mary Ann's List"
"Alabama New South Coalition Jefferson County Chapter",NA
"Working For Us","Priorities USA Action and SMP. (302) 469-3772. (202) 871-9255. Not authorized by any candidate or candidate's committee."
"Solar Energy Today","SOLAR ENERGY TODAY"
"The Collective PAC","The Collective PAC; not authorized by any candidate or any candidate's committee."
"Andrew Gillum","Andrew Gillum, Democrat, for Governor"
"For Our Future FL","For Florida’s Future P.C. 1001 N.W. 62nd Street, Suite 414, Fort Lauderdale, FL 33309 independently of any candidate.  Not approved by any candidate."
"LCV Victory Fund","LCV Victory Fund"
"Barbara Cady","Barbara Cady, Democrat, for Florida House District 42."
"Dedicated Dems of Florida City/Homestead"," Grassroots Democrats"
"Equality Florida","Equality Florida"
"Working For Us",NA
"Ashley Coone for DeSoto County School Board, District 3","Ashley Coone for DeSoto County School Board, District 3. "
"Jeremy Ring","Jeremy Ring, Democrat, for Chief Financial Officer"
"Adam Putnam","Adam Putnam, Republican, for Governor"
"Solar Energy Today",NA
"CARE FL","CARE FL"
"SEIU Florida","SEIU on behalf of SEIU Florida"
"Alianza for Progress","Alianza for Progress"
"Dan Kurek for St Lucie County Commission, District 2","Dan Kurek for St. Lucie County Commissioner District 2"
"Jackie Toledo","Jackie Toledo Campaign for State Representative, District 60 "
"Rick Scott For Florida: News & Views","Rick Scott for Florida: News & Views"
"Majority Forward","Majority Forward. Not authorized by any candidate or candidate’s committee."
"SAVE","SAVE Action PAC"
"Marsy's Law for Florida","Marsy’s Law for Florida"
"Women's March Florida- St. Augustine Chapter","Women's March St Augustine "
"Bestsolarpowertoday","Solar Rebates"
"SEIU Florida","SEIU Florida State Council"
"Equality Florida",NA
"Campaign for Judge Jared Smith",NA
"Mike Alvarez for State Representative, D-62","Political advertisement paid for and approved by Mike Alvarez, Democrat, for Florida House, District 62."
"Phil Hornback for House District 58","Committee to Elect Phil Hornback"
"One Florida Foundation","One Florida Foundation"
"Ed Turanchik for Mayor","Ed Turanchik for Tampa Mayor, Non-Partisan"
"Christian Ziegler for County Commission","Paid for and approved by Christian Ziegler, Republican for Sarasota County Commission, District 2"
"SMA Behavioral Health Services",NA
"Animal Matters","Animal Matters"
"Campaign for Judge Jared Smith","the Campaign for Judge Jared Smith"
"Sierra Club Florida","the Sierra Club "
"Melissa Howard","Melissa Howard, Republican, for Florida House of Representatives, District 73"
"Sasha Dadan FL","Sasha Dadan, Republican, for State Representative, District 83."
"Siva R Krishna","Siva R Krishna, who is not representing any political party."
"Terry Power for Florida House","Terry Power, Republican for Florida House District 64."
"Central Florida Post","CFP Media"
"Mary Barzee Flores","Mary Barzee Flores for Congress"
"South Florida Wildlands Association","South Florida Wildlands Association"
"Republican Party of Sarasota","The Republican Party of Sarasota County"
"1180AM WFYL",NA
"James Linwood Schulman for Florida House","James Linwood Schulman, Democrat for State Representative, District 115"
"Mel Martin for Florida Senate District 14","Melissa Martin, Democrat, for FL Senate District 14"
"The Constitution Party of Florida","The Constitution Party of Florida"
"Annisa Karim For Florida Senate","Annisa Karim, Democrat, for State Senate."
"Representative Carlos Guillermo Smith","Carlos Guillermo Smith, Democrat, for Florida House District 49"
"Michael Grieco for State Representative, District 113","(and approved) Michael Grieco, Democrat for FL House District 113"
"Solar Powered Florida","Solar Powered Florida"
"Oakes Farms Food Service & Distribution",NA
"Catherine Price for FL Senate 26 Campaign","Catherine Price Campaign for Florida State Senate District 26."
"Log Cabin Republicans of Broward","Gilbert Montalvo"
"Rick Scott",NA
"NRDC Action Fund","NRDC Action Fund"
"Belinda Keiser","Belinda Keiser, Republican for Florida Senate District 25"
"Matt Caldwell","Matt Caldwell, Republican, for Commissioner of Agriculture"
"Charlotte County Democratic Party","Charlotte County Democratic Party"
"Senator René García","Rene Garcia"
"FLIC Votes","FLIC Votes"
"SAVE",NA
"Florida Professional Law Group, PLLC",NA
"Clear View Post","Clear View Post"
"RiseUp Florida",NA
"TBReporter.com","TB Reporter does not run political ads on Facebook. We are a news site that writes about politics. If you think this is an ad, it is not. It is a story about politics or a politician. The ads are paid for by Ragranok Group but they are not political ads. This is to comply with Facebook requirements"
"Teamfl","TEAMFL"
"Everglades-Trust","Everglades Trust, established in 1994"
"Mike Miller","MIKE MILLER FOR CONGRESS"
"Democratic Association of Secretaries of State","Democratic Association of Secretaries of State "
"Vote Bobby O","Robert ""Bobby"" Olszewski, Republican for State House, District 44"
"Mike Beltran, Conservative Republican for Florida State House District 57","supporters to elect Mike Beltran"
"Save The Mid-Reach",NA
"Senator Kelli Stargel","Florida Senatorial Campaign Committee"
"Kimberly Sadler for Judge","Kimberly Sadler, nonpartisan for Duval County Judge Group 8"
"Pat Kemp - Hillsborough County Commissioner Countywide","Patricia Kemp"
"Jennifer Boddicker for Florida House","Jennifer Boddicker Ph.D., Democrat for Florida State House District 80"
"Solar Rebate Today","Solar Rebate Today"
"Republican Party of Clay County","Republican Party of Clay County Florida"
"Elders Climate Action - Massachusetts Chapter","Michael Sales"
"League of Women Voters of Seminole County",NA
"Spencer Roach","Spencer Roach, Republican, for Florida House, District 79."
"Nicole Haagenson for Florida","and approved by Nicole Haagenson, Democrat, for Florida House, District 54"
"Two Tribes","Jim Hester"
"RedefinED","RedefinED"
"Tim Canova",NA
"Wilton Simpson","Jobs for Florida"
"Florida Conservation Voters","Florida Conservation Voters"
"Tampa Bay Young Republicans","TBYR"
"Trump Trash","D.L. Free, Melbourne, FL"
"Flagler County Republican Party","Flagler County Republican Executive Committee"
"Nelson for U.S. Senate",NA
"Jared Patterson, GOP Nominee for Texas House District 106","Jared Patterson Campaign"
"National Popular Vote dot com","John Paladin and Attorney Paladin, Los Angeles, California. Supporter of National Popular Vote, Every Vote Equal, End Citizens United, Move To Amend, Term Limits and The Federal Accountability Amendment."
"Volusia Watermen's Association","Volusia Watermen's Association"
"Colorado Hispanic Republicans","Colorado Hispanic Republicans"
"Las Vegas Newspaper","Las Vegas Newspaper"
"Likewise","Likewise"
"Eric Nakajima","Committee to Elect Eric Nakajima, Ann Morgan Treasurer"
"KNX 1070 NEWSRADIO","Entercom Communications"
"Secular Coalition for America","The Secular Coalition for America"
"Santa Barbara County Republican Party","Santa Barbara County Republican Party"
"Mazie Hirono","Friends of Mazie Hirono"
"Re-Elect Senator Mike Carpenter","Carpenter For Senate Committee, Sherry Socoby Treasurer"
"Joe Donnelly","Donnelly for Indiana"
"Mike Braun","Mike Braun for Indiana"
"Indiana AFL CIO","Indiana State American Federation of Labor and Congress of Industrial Organizations Education Fund.  Not authorized by any candidate, committee or political party."
"Students for Life of America","Students for Life of America"
"Indiana Institute for Working Families","Indiana Institute for Working Families"
"Montgomery County Republican Committee","Montgomery County Republican Committee"
"Joe Donnelly",NA
"Tom Steyer","Need to Impeach"
"Women In Network",NA
"Libertarian Party of Wayne County",NA
"One Nation",NA
"MHI Action","Manufactured Housing Institute"
"BLOOM Magazine","Bloom Magazine"
"Ernie Pyle Legacy Foundation",NA
"Right to Life of Southwest Indiana","Right to Life of Southwest Indiana"
"National Wildlife Federation","National Wildlife Federation"
"Sleeping Joe","NRSC. Not authorized by any candidate or candidate’s committee."
"Mexico Joe","Senate Leadership Fund"
"AFT - American Federation of Teachers","American Federation of Teachers"
"Senate Leadership Fund","Senate Leadership Fund"
"Hoosier Country","Priorities USA Action and SMP. Not authorized by any candidate or candidate's committee."
"Harrison County Republican Party","the Harrison County Republican Party"
"Hoosier Country","Priorities USA Action and Senate Majority PAC. Not authorized by any candidate or candidate's committee."
"Mike Braun Isn't Fooling Hoosiers","Donnelly for Indiana"
"AARP Indiana","AARP Indiana"
"Indiana Republican Party","The Indiana Republican State Committee"
"Pike County Indiana Republican Party","Pike County Republican Committee"
"Indiana Republican Party",NA
"Brown County Indiana Republicans","Brown County Indiana Republicans"
"ICON Conference 2018","ICON Conference"
"Chris Switzer for Vigo County Council","The Committee to Elect Chris Switzer for Vigo County Council District 2"
"Altman IN U.S. Senate",NA
"Indiana Electric Cooperatives","Indiana Electric Cooperative Association"
"Zak Ringelstein","Ringelstein For Maine"
"BDS list","Supporters of the BDS movement"
"Lincoln County Democratic Committee","and authorized by Lincoln County Democratic Committee, Sandie O’Farrell Treasurer, P.O. Box 336, Waldoboro, Maine 04572"
"Maine Liberty Pac","Maine Liberty PAC"
"Protect Freedom PAC","Protect Freedom PAC and not authorized by any candidate or candidate’s committee."
"Eric Brakey for U.S. Senate","ERIC BRAKEY FOR U.S. SENATE"
"Derek","Derek Maine's Conservative Blog"
"Run Aaron Run","and authorized by Run Aaron Run & Aaron Chadbourne"
"Maine Republican Party","the Maine Republican Party, 9 Higgins Street, Augusta, Maine. Not paid for or authorized by any candidate."
"Run Aaron Run","Chadbourne for Governor"
"Angus King","THE ANGUS KING FOR U.S. SENATE CAMPAIGN"
"The Committee for Ranked Choice Voting","The Chamberlain Project BQC 2018, PO Box 2122, South Portland, ME 04116"
"Maine Independents","Maine Independents PAC"
"Girl Scouts of Maine",NA
"Beacon","the Maine People's Alliance"
"Suit Up Maine","Suit Up Maine"
"Maine Liberty Pac",NA
"Standing Up to POTS",NA
"Mia Mason",NA
"Campbell4Maryland","Campbell 4 Maryland"
"Campbell4Maryland",NA
"McShane LLC","McShane LLC"
"Friends of the District 32 Republican Club",NA
"Annapolis Republican Central Committee","Annapolis Central Committee, Mike Dye Treasurer"
"Citizens to Elect Stephanie Boston","Citizens to Elect Stephanie Boston, Pamela Fetsch Treasurer"
"Maryland Republican Party","Maryland Republican Party, R.Christopher Rosenthal Treasurer"
"Havis for Senate","Havis for Senate"
"No IDC NY","NOIDCNY"
"Chelsea Gill for Delegate","Friends of Chelsea Gill"
"Grigorian for Senate","Grigorian for Senate"
"Robert Kesten for NYS Senate",NA
"Neal Simon for U.S. Senate","Neal Simon for U.S. Senate"
"Michele Guyton for Delegate","Michele Guyton for Baltimore County"
"Woman's Democratic Club of Montgomery County, Maryland","Woman's Democratic Club of Montgomery County, MD"
"Segal For Senate","Segal For Senate"
"Dan Morhaim","Paid for Citizens for Dan Morhaim; Neil Levy, Treasurer"
"Tracie Hovermale for State Delegate-District33","Citizens to Elect Tracie Hovermale. Dawn Stein, Treasurer"
"Citizens for Esam Al-Shareffi for Delegate - District 17","Citizens for Esam Al-Shareffi for Delegate, Treasurer Yasmin Kadham"
"Jerrell Bratcher",NA
"Sarah Elfreth for Senate - District 30","Friends of Sarah Elfreth; Michael G. Miller, Treasurer"
"People Over Politics MD","People Over Politics"
"Unite America","Unite America Congressional Election Fund"
"Neal Simon for U.S. Senate",NA
"Independent Voter","IVN News"
"Craig O'Dear","Craig O'Dear for U.S. Senate"
"Konni Burton","the Konni Burton Campaign"
"Geoff Diehl","Diehl for U.S. Senate"
"Richard Neal","Richard Neal for Congress Committee, Treasurer Michael F. Hall"
"Elizabeth Warren","Elizabeth for MA"
"Josh Zakim","the Committee to Elect Josh Zakim"
"John MacDonald for State Senate","The Committee to Elect John MacDonald"
"John Kingston","John Kingston for Senate, Inc."
"OpsLens","OpsLens. "
"Where's Warren?","Paid for by Diehl for U.S. Senate"
"TrumpRussia2018 .com","Sassan K. Darian - A private citizen concerned about basic human decency, liberal democracy and the sovereignty of our democratic process. "
"Salem Democrats","Salem Democratic City Committee"
"Kristen Mobilia for Boston City Council - District 8","Committee to Elect Kristen Mobilia"
"Andy Barr","Andy Barr for Congress"
"Geoff Diehl",NA
"MRCTV","Media Research Center"
"Ed Markey","The Markey Committee"
"Burlington County Watchdog","Burlington County Watchdog"
"Deb Goldberg","Deborah Goldberg Committee"
"RedBlue Tracker","RedBlueTracker"
"Allen Waters for U.S. Senate","Allen Waters for U.S. Senate"
"Katherine Clark","Katherine Clark for Congress"
"Labor Guild","The Labor Guild"
"Will Brownsberger","the Brownsberger Committee"
"Brian J. Stone",NA
"Progressive Needham","John and Susan Kirk"
"Maple Heights African American Gazette",NA
"Minneapolis Public Housing Authority","the Minneapolis Public Housing Authority"
"Brian J. Stone","Brian J. Stone"
"Sustainable Politician Project","Sustainable Politician Project"
"Rick Green","Rick Green for Congress"
"Jared Polis","Polis for Colorado"
"Mindy Domb for MA State Representative, 3rd Hampshire District","Committee to Elect Mindy Domb"
"Grand Opportunity USA","Yuko Social LLC"
"Cape Cod Women for Change","Cape Cod Women for Change"
"American Post",NA
"Michael Quinn Sullivan","Empower Texans"
"The Franklin Democratic Town Committee","the Franklin Democratic Town Committee"
"MoveOn","MoveOn.org Political Action, not authorized by any candidate or candidate's committee."
"North County  Climate Change Alliance","North County Climate Change Alliance"
"Beth Lindstrom for U.S. Senate","Beth Lindstrom for U.S. Senate Committee"
"Bob Casey","Bob Casey for Senate"
"Deb Fischer","Deb Fischer for U.S. Senate"
"The Undercurrent","American Family Voices"
"Carolyn Maloney",NA
"American Jobs & Growth PAC","American Jobs & Growth PAC"
"AFSCME Council 25","AFSCME Council 25"
"Edward M. Kennedy Institute for the US Senate",NA
"Political scrapbook",NA
"Allen Waters for U.S. Senate","Allen Waters for Senate"
"Dr. Katie McBrine for State Senate","the Committee to Elect Katie McBrine"
"Rob Walker for Ky House",NA
"Portside","Portside"
"Cristina Garcia","CRISTINA GARCIA FOR ASSEMBLY 2018  FPPC ID 1393064"
"Jason Smith","JASON SMITH FOR CONGRESS"
"Kency Gilet","Kency Gilet"
"Dianna Ploss","Dianna Ploss"
"Voter Choice Massachusetts","Voter Choice MA"
"Jay Gonzalez for Governor","The Gonzalez Committee"
"Emily Farrer for State Representative","Emily Farrer "
"The Young Jurks","The Young Jurks"
"Mike Soter for State Representative","The Committee to Elect Mike Soter"
"Debbie Stabenow","Stabenow for U.S. Senate"
"Right to Life of Michigan","Right to Life of Michigan"
"Cancer Families United",NA
"Sandy Pensler","Pensler for Senate"
"One Michigan Alliance","One Michigan Alliance Fund"
"Clean Water Action","Clean Water Action/Clean Water Fund"
"Garnet Lewis for State Senate","Garnet Lewis for State Senate"
"John James"," John James for Senate, inc."
"Protect Our Workers' Earned Retirement Coalition","Protect Our Workers Earned Retirement"
"Debbie Stabenow","Stabenow for Senate"
"Rob Davidson for Congress","Committee to Elect Rob Davidson"
"Jeanette Schipper","CTE Jeanette Schipper for Senate"
"Bill Huizenga","Huizenga For Congress"
"Paul R. Francis for Michigan State Senate 8th District","COMMITTEE TO ELECT PAUL FRANCIS 8TH DISTRICT STATE SENATE"
"Protect Our Workers' Earned Retirement Coalition",NA
"National Retiree Legislative Network","NRLN"
"Fact-based Progressive","Fact-based Progressives"
"Bob Romps for State Representative","Bob Romps for State Representative"
"Vote Poppy","CTE Poppy Sias-Hernandez PO Box 243 Muskegon, MI 49443"
"Conservative Outsider","Outsider PAC.   25 WEST 8TH STREET SUITE 300, HOLLAND, MI 49423 NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE COMMITTEE."
"John James","John James for Senate Inc"
"Opportunity Solutions Project","the Opportunity Solutions Project"
"Michele Dauber","the Committee to Recall Judge Perksy"
"Rejoice Magazine","Rejoice Magazine"
"Debbie Stabenow",NA
"Recall Aaron Persky","the Committee to Recall Judge Persky"
"John James",NA
"Michigan Republican Party","the Michigan Republican Party Not authorized by any candidate or candidates committee. 520 Seymour Ave. Lansing, MI 48933"
"Antrim County Republican Party","Antrim County Republican Party"
"John Catsimatidis","John Catsimatidis"
"Lena Epstein","Lena for Congress"
"Pro Life Man","Pro Life Man"
"William F White R-MI for United States Senator Michigan","William F White For US Senate"
"Michigan Democratic Party","the Michigan Democratic State Central Committee. Not authorized by any candidate or committee. "
"Lana Theis for State Senate","Committee to Elect Lana Theis"
"Livingston County Republican Party","Livingston County Republican Party with regulated funds, P.O. Box 923, Brighton, MI 48116 (Not authorized by any candidate or candidate committee.)"
"Ian Shetron","Ian Shetron for State House | PO Box 60 | Flushing, MI 48433"
"Paul Mitchell for Congress","Friends of Paul Mitchell, 4068 HOUGH RD, DRYDEN, MI 48428"
"Elect Ryan Berman - State Representative 39th District","Elect Ryan Berman - 2525 S. Telegraph Rd, Ste 100, Bloomfield Hills, MI 48302"
"John Grasso for Senate","Authority: Friends of John Grasso, James Appel, Treasurer"
"Brooks For Long Island","Friends of John Brooks"
"Wiley Nickel - NC Senate","Wiley Nickel for North Carolina"
"Oklahoma Second Amendment Association","Oklahoma Second Amendment Association"
"Military-Veterans Advocacy, Inc.","Military-Veterans Advocacy"
"Tony Guerrera","Tony Guerrera for Senate. Sandy Nafis, Treasurer."
"Daphne Jordan for NYS Senate","New York State Senate Rep Campaign Committee"
"Rodriguez for Congress","Junius Rodriguez for Congress (IL-18)."
"International Life Cast Museum",NA
"Stand Up KC","Midwest Center for Equality & Democracy"
"Beaver County United","Pennsylvania United"
"Oliver for State Senate","Oliver for State Senate"
"John Flores for State Senate","the Committee to elect John Flores for State Senate for the Cape & Islands"
"Kent County Democratic Committee","Kent County Democratic Committee"
"Jeff Pravato for Senate","New York State SRCC"
"NC Senator Floyd B. McKissick Jr.","McKissick for NC Senate"
"John Kiehne for State Senate","Kiehne for Missouri- Jeff Hackney Treasurer"
"The Mexican Next Door","Pedro Chávez"
